Course Code,Course Name
BA Psychology,Bachelor of Arts in Psychology
BS Psychology,Bachelor of Science in Psychology
BS Statistics,Banchelor of Science in Statistics
BSBA,Bachelor of Science in Business Admisnistration
BSCA,Bachelor of Science in Computer Application
BSCE,Bachelor of Science in Civil Engineering
BSCS,Bachelor of Science in Computer Science
BSIS,Bachelor of Science in Information System
BSIT,Bachelor of Science in Information Technology
BSCHE,Bachelor of Science in Chemical Engineering
BSN,Bachelor of Science in Nursing
